resref,name,base_item,enh_current,ab_current,relation,keep,value
15,Smash,32,5,20,AB>ENH,enhancement,12
91,Epic Spear of Victory,58,10,20,AB>ENH,enhancement,15
93,The Epic Tongue of Smaug,111,10,20,AB>ENH,enhancement,15
95,The Tongue of Smaug,111,10,20,AB>ENH,enhancement,15
102,Gwathdor Tongue,111,10,15,AB>ENH,enhancement,12
115,Undead Kukri,42,10,18,AB>ENH,enhancement,14
batbite,bat bite,72,10,20,AB>ENH,enhancement,15
bladeofhareth001,Blade of Hareth +epic+,53,15,20,AB>ENH,enhancement,17
bladeofthedan001,Blade of the Dancer{EPIC),0,7,20,AB>ENH,enhancement,17
bladesofthedeath,Blades of the Death Dealer,12,4,10,AB>ENH,enhancement,7
crewplcl001,LostSoul Claw,72,6,19,AB>ENH,enhancement,12
dunharrowbutc001,Lost Soul Butcher,2,10,20,AB>ENH,enhancement,15
epicdragonknic,Epic Dragon Knight Claw,72,15,20,AB>ENH,enhancement,17
epickama001,Epic Kama,40,10,15,AB>ENH,enhancement,14
felloak,Felloak,28,5,6,AB>ENH,enhancement,5
flamestike,Flame Stike,59,10,20,AB>ENH,enhancement,15
frostbite001,Frostbite,70,14,20,AB>ENH,enhancement,17
glamhring003,Flame of the West {Epic},3,10,20,AB>ENH,enhancement,15
gollumsfist,Gollums fist,71,18,20,AB>ENH,enhancement,19
gondorianstaf002,Greater Gondorian Staff {EPIC},45,15,20,AB>ENH,enhancement,17
hammerofmidnight,Hammer of Midnight,37,3,18,AB>ENH,enhancement,10
hugedragonclaw,Huge Dragon Claw/Wing,72,15,20,AB>ENH,enhancement,17
impaler,Impaler,316,8,20,AB>ENH,enhancement,14
it_crewps006,Doom Beetle Bite,69,5,15,AB>ENH,enhancement,10
it_crewps065,Saruman's Familiar Bite Level 40,69,10,15,AB>ENH,enhancement,12
it_crewpsp021,13277,72,5,15,AB>ENH,enhancement,10
it_minoaxe001,90892,18,3,4,AB>ENH,enhancement,3
item007,Archer's Bane,10,4,13,AB>ENH,enhancement,8
item056,Nazgul's Tooth,22,7,8,AB>ENH,enhancement,7
item058,The Prince's Lil Blade,0,9,18,AB>ENH,enhancement,13
item076,Epic Devil's Advocate,22,10,20,AB>ENH,enhancement,15
item084,Deekin's Little Helper,33,6,9,AB>ENH,enhancement,7
item093,Tournament Bastard Sword,3,10,16,AB>ENH,enhancement,14
item098,Flame's Bane,32,10,19,AB>ENH,enhancement,14
item101,Wanker's Scimitar,53,11,19,AB>ENH,enhancement,15
kuotoapincers001,Kuo-Toa Pincer Staff,50,6,18,AB>ENH,enhancement,12
maceofthedark002,Greater Mace of the Dark Priestess{EPIC},9,13,20,AB>ENH,enhancement,16
mummyreaperscy,Mummy Reaper Scythe,55,10,20,AB>ENH,enhancement,15
ooze,Ooze ,71,15,20,AB>ENH,enhancement,17
rapierofangma001,Rapier of Angmar {EPIC},51,18,20,AB>ENH,enhancement,19
scimitar006,Scimitar of the Marshall,53,5,16,AB>ENH,enhancement,10
scimitar008,Scimitar of the Marshall,53,5,8,AB>ENH,enhancement,6
smaugsbane001,Smaug's Bane,32,6,11,AB>ENH,enhancement,8
spearofdestany,Spear of Destany,58,8,20,AB>ENH,enhancement,14
spearoftheroh004,Greater Spear of the Ridermark,58,2,16,AB>ENH,enhancement,11
swordofthegen,Sword of the General,13,6,9,AB>ENH,enhancement,7
swordoftheshield,Sword of the Shieldmaiden,1,10,15,AB>ENH,enhancement,12
tarrelskamaofthe,Tarrels Kama of the Seven Suns,40,16,20,AB>ENH,enhancement,18
