class,name,old_tag,old_resref,new_tag,new_resref
A,Adamantine Chainmail,AdamantineChainmail,adamantinepla001,AdamantineChainmail2,adamantinepla001
A,Adamantite Small Shield,AdamantiteSmallShield,adamantitesmalls,AdamantiteSmallShield2,adamantitesmalls
A,Adamantite Tower Shield,AdamantiteTowerShield,adamantitetowers,AdamantiteTowerShield2,adamantitetowers
A,A weak Morgul Knife,AlesserMorgulKnife,morgulknife002,AlesserMorgulKnife2,morgulknife002
A,Amulet of Dire Protection,AmuletofDireProtection,amuletofdirep001,AmuletofDireProtection2,amuletofdirep001
A,Amulet of Corrupt Faith,AmuletofDivineFaith,amuletofdivin001,AmuletofDivineFaith2,amuletofdivin001
A,Armor of The Defender,ArmorofTheDefender,017,ArmorofTheDefender2,017
A,Arrow of the Orc Defender,ArrowoftheOrcDefender,045,ArrowoftheOrcDefender2,045
A,Avenger,Avenger,avenger002,Avenger2,avenger002
A,Axe of the Gate,AxeoftheBrute,axeofthebrute001,AxeoftheBrute2,axeofthebrute001
A,Axe of the Ologai Troll,AxeoftheOlogaiTroll,wdbmax005,AxeoftheOlogaiTroll2,wdbmax005
A,Bad Brains {EPIC},BadBrains,badbrains001,BadBrains2,badbrains001
A,Bad Brains,BadBrains,badbrains002,BadBrains3,badbrains002
A,Balrog Skin,balrogskin,crittablenpcs001,BalrogSkin2,crittablenpcs001
A,UrukHai Squad Leader Plate,BattlePlateofPain,battleplateof003,BattlePlateofPain2,battleplateof003
A,Battle Plate of the Marshall,BattlePlateoftheChosen,battleplateof009,BattlePlateoftheChosen2,battleplateof009
A,White Hand Protectorate,BattlePlateoftheChosen,battleplateof010,BattlePlateoftheChosen3,battleplateof010
A,Battle Plate of the Chosen,BattlePlateoftheChosen,battleplateofthc,BattlePlateoftheChosen4,battleplateofthc
A,Epic Belt of Dark Warding,BeltofDarkWarding,021,BeltofDarkWarding2,021
A,Hoarmouth's Sash,BeltofDivineMight,beltofdivinem001,BeltofDivineMight2,beltofdivinem001
A,Belt of Greatness,BeltofGreatness,beltofgreatne002,BeltofGreatness2,beltofgreatne002
A,Belt of Power,BeltofPower,beltofpower002,BeltofPower2,beltofpower002
A,Belt of the Dancer,BeltoftheTitans,027,BeltoftheTitans2,027
A,Blade of Roses +6,BladeofRoses,ls_bladeofros002,BladeofRoses2,ls_bladeofros002
A,Blade of Roses +6,BladeofRoses,ls_bladeofros003,BladeofRoses2,ls_bladeofros003
A,Blade of Roses +6,BladeofRoses,ls_bladeofroses,BladeofRoses2,ls_bladeofroses
A,Bonebat bite,Bonebatbite,bonebatbite001,Bonebatbite2,bonebatbite001
